source_id,ra,dec,parallax,parallax_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ruwe,astrometric_excess_noise,teff_gspphot,radius_gspphot,add_teff,add_r,add_g,add_b
976336127551825024,112.1811205592092,47.92041992821595,4.090161425526379,0.05508343,5.3887386,6.934785,4.1501155,2.7846694,1.20141,0.3380153,,,2525.0108639929767,1.0,0.6276658389561319,0.28375986414236215
998065393598462720,94.09171385521728,56.734692499507055,4.1225915582000665,0.07447411,5.5330234,7.6478724,4.1570807,3.4907918,1.1200787,0.41910404,,,2137.1372653058133,1.0,0.562608751661015,0.12433540696615013
1083498447804179456,120.3367368247351,59.04751409072696,23.022827268719205,0.14319327,5.677026,5.8819203,5.3219056,0.5600147,3.1803484,0.7874358,6567.484,2.1762,6128.650385204708,1.0,0.9735625632327191,0.9425833336907946
1112863173567966336,100.13445167095948,71.74883533862031,4.124825815872923,0.03760964,5.5223527,6.1291533,4.7772613,1.351892,1.0444758,0.25518638,4755.697,27.262,4030.792246833365,1.0,0.810113850454673,0.6568465193674395
1141280704422528128,101.55652486903516,79.56212608725718,54.93795853293205,0.059513412,5.3004165,5.569801,4.8804135,0.6893873,0.98378754,0.48602784,6105.6284,1.2239,5638.236348581669,1.0,0.9410284926928023,0.8879865182866595
1202356788639458688,245.01769709102896,21.132384693271927,9.965084122160905,0.020951144,5.7938647,6.262727,5.157477,1.1052499,0.88427603,0.15204723,5100.514,8.463,4503.460125013561,1.0,0.8533672950347932,0.73557186834954
1233224031399543040,211.62329921182013,16.970282953317955,2.327535800683251,0.07300242,5.442809,6.919455,4.2397175,2.6797376,0.99749786,0.39000866,3753.158,196.1786,2595.2592961974965,1.0,0.6383700940066176,0.30822305000428457
1250169120491310720,207.4285854762932,21.264177739894937,4.749171371375651,0.6261028,4.414803,5.178904,3.5722435,1.6066606,5.584184,3.3669796,4419.565,44.1828,3639.8238885139926,1.0,0.7703147453264875,0.5818232264696622
1256116447605381504,217.19185206911095,25.85383391512073,2.8186802793340826,0.04357845,5.5928845,6.972206,4.4119015,2.5603046,1.0995712,0.24947385,,,2680.2365752100527,1.0,0.65093798879205,0.33641456483157733
1278089775171112832,230.452139058698,32.93375458988856,12.086502303560934,0.06589654,5.3662653,5.3352423,5.403148,-0.0679059,1.0189117,0.55985105,10957.645,2.2876,11059.842544951593,0.7666160922209732,0.8401345537867131,1.0
1281505648559728640,222.49341975375623,28.61582861720019,9.734281302621586,0.038579326,5.781428,5.805159,5.702409,0.1027503,0.90152776,0.27118927,9363.808,2.9022,9001.14066906885,0.8218555979700997,0.8739356180297491,1.0
1335756411268494080,261.6921185233113,34.695992668030826,11.04207073703649,0.03582086,5.9348135,5.920218,5.928556,-0.008337975,0.9235122,0.3251199,10071.269,2.0732,10230.448113666966,0.7851175497984153,0.8515696488859047,1.0
1337664063942689792,255.40152067635225,33.56826961228025,10.08478368222762,0.05177082,5.2570553,5.262148,5.225583,0.036564827,0.93967426,0.50898534,9183.206,3.3969,9690.89413102946,0.7995170038623965,0.8603888830829822,1.0
1346932740806216960,260.4318000640739,39.97440141709664,13.815289351405015,0.49629432,5.3263936,5.7317014,4.8395076,0.8921938,11.846375,4.5601497,5948.1396,7.2505,5017.434470655841,1.0,0.8955244736254251,0.8099327603957118
1378163509599547520,242.24262530313652,36.49234736794184,29.021722183292724,0.12752293,4.4341764,4.9649186,3.7759244,1.1889942,1.270951,1.1589344,,,4330.435864951867,1.0,0.8380847493979545,0.7080595844065335
1388536233576681728,228.3982091878594,38.26448609842576,7.088830943720469,0.025468629,5.825101,6.444252,5.0692477,1.3750043,1.1314507,0.19723478,4882.1865,15.0531,3991.7445005403433,1.0,0.8063165660584363,0.6498025447103877
